report_year,calculator_data_version,property_price_gbp,jurisdiction,buyer_type,assumption_level,deposit_percentage,deposit_gbp,property_tax_name,property_tax_gbp,property_tax_basis,legal_fees_gbp,legal_fees_basis,searches_gbp,searches_basis,registration_gbp,registration_basis,survey_gbp,survey_basis,mortgage_fees_gbp,mortgage_fees_basis,bank_transfer_fee_gbp,moving_costs_gbp,moving_costs_included,insurance_gbp,insurance_included,furnishing_setup_gbp,furnishing_setup_included,contingency_gbp,contingency_percentage,total_upfront_cash_gbp,notes
2026,2026.07.1,200000,Northern Ireland,Home mover,average,10,20000,Stamp Duty Land Tax,1500,official-calculation,1250,market-estimate,340,market-estimate,310,market-estimate,550,market-estimate,650,market-estimate,40,900,true,320,true,0,false,436,10,26296,"Taxes use official jurisdiction-specific rules verified on 19 July 2026. Legal, survey, mortgage, moving and setup figures are adjustable planning estimates. Northern Ireland registration is an adjustable allowance, not an HM Land Registry charge."
2026,2026.07.1,200000,Northern Ireland,Additional property / second home,average,10,20000,Stamp Duty Land Tax,11500,official-calculation,1250,market-estimate,340,market-estimate,310,market-estimate,550,market-estimate,650,market-estimate,40,900,true,320,true,0,false,436,10,36296,"Taxes use official jurisdiction-specific rules verified on 19 July 2026. Legal, survey, mortgage, moving and setup figures are adjustable planning estimates. Northern Ireland registration is an adjustable allowance, not an HM Land Registry charge."
2026,2026.07.1,200000,Scotland,First-time buyer,average,10,20000,LBTT,500,official-calculation,1250,market-estimate,240,market-estimate,400,official-charge,550,market-estimate,650,market-estimate,40,900,true,300,true,0,false,393,10,25223,"Taxes use official jurisdiction-specific rules verified on 19 July 2026. Legal, survey, mortgage, moving and setup figures are adjustable planning estimates. Registration treatment depends on the application; confirm the final charge with your solicitor."
2026,2026.07.1,200000,Scotland,Home mover,average,10,20000,LBTT,1100,official-calculation,1250,market-estimate,240,market-estimate,400,official-charge,550,market-estimate,650,market-estimate,40,900,true,300,true,0,false,393,10,25823,"Taxes use official jurisdiction-specific rules verified on 19 July 2026. Legal, survey, mortgage, moving and setup figures are adjustable planning estimates. Registration treatment depends on the application; confirm the final charge with your solicitor."
2026,2026.07.1,200000,Scotland,Additional property / second home,average,10,20000,LBTT,17100,official-calculation,1250,market-estimate,240,market-estimate,400,official-charge,550,market-estimate,650,market-estimate,40,900,true,300,true,0,false,393,10,41823,"Taxes use official jurisdiction-specific rules verified on 19 July 2026. Legal, survey, mortgage, moving and setup figures are adjustable planning estimates. Registration treatment depends on the application; confirm the final charge with your solicitor."
2026,2026.07.1,200000,Wales,First-time buyer,average,10,20000,LTT,0,official-calculation,1250,market-estimate,330,market-estimate,100,official-charge,550,market-estimate,650,market-estimate,40,900,true,320,true,0,false,404,10,24544,"Taxes use official jurisdiction-specific rules verified on 19 July 2026. Legal, survey, mortgage, moving and setup figures are adjustable planning estimates. Registration treatment depends on the application; confirm the final charge with your solicitor."
2026,2026.07.1,200000,Wales,Home mover,average,10,20000,LTT,0,official-calculation,1250,market-estimate,330,market-estimate,100,official-charge,550,market-estimate,650,market-estimate,40,900,true,320,true,0,false,404,10,24544,"Taxes use official jurisdiction-specific rules verified on 19 July 2026. Legal, survey, mortgage, moving and setup figures are adjustable planning estimates. Registration treatment depends on the application; confirm the final charge with your solicitor."
2026,2026.07.1,200000,Wales,Additional property / second home,average,10,20000,LTT,10700,official-calculation,1250,market-estimate,330,market-estimate,100,official-charge,550,market-estimate,650,market-estimate,40,900,true,320,true,0,false,404,10,35244,"Taxes use official jurisdiction-specific rules verified on 19 July 2026. Legal, survey, mortgage, moving and setup figures are adjustable planning estimates. Registration treatment depends on the application; confirm the final charge with your solicitor."
2026,2026.07.1,225000,England,First-time buyer,average,10,22500,Stamp Duty Land Tax,0,official-calculation,1400,market-estimate,340,market-estimate,150,official-charge,700,market-estimate,800,market-estimate,40,1100,true,320,true,0,false,470,10,27820,"Taxes use official jurisdiction-specific rules verified on 19 July 2026. Legal, survey, mortgage, moving and setup figures are adjustable planning estimates. Registration treatment depends on the application; confirm the final charge with your solicitor."
2026,2026.07.1,225000,England,Home mover,average,10,22500,Stamp Duty Land Tax,2000,official-calculation,1400,market-estimate,340,market-estimate,150,official-charge,700,market-estimate,800,market-estimate,40,1100,true,320,true,0,false,470,10,29820,"Taxes use official jurisdiction-specific rules verified on 19 July 2026. Legal, survey, mortgage, moving and setup figures are adjustable planning estimates. Registration treatment depends on the application; confirm the final charge with your solicitor."
2026,2026.07.1,225000,England,Additional property / second home,average,10,22500,Stamp Duty Land Tax,13250,official-calculation,1400,market-estimate,340,market-estimate,150,official-charge,700,market-estimate,800,market-estimate,40,1100,true,320,true,0,false,470,10,41070,"Taxes use official jurisdiction-specific rules verified on 19 July 2026. Legal, survey, mortgage, moving and setup figures are adjustable planning estimates. Registration treatment depends on the application; confirm the final charge with your solicitor."
2026,2026.07.1,225000,Northern Ireland,First-time buyer,average,10,22500,Stamp Duty Land Tax,0,official-calculation,1400,market-estimate,340,market-estimate,355,market-estimate,700,market-estimate,800,market-estimate,40,1100,true,320,true,0,false,506,10,28061,"Taxes use official jurisdiction-specific rules verified on 19 July 2026. Legal, survey, mortgage, moving and setup figures are adjustable planning estimates. Northern Ireland registration is an adjustable allowance, not an HM Land Registry charge."
2026,2026.07.1,225000,Northern Ireland,Home mover,average,10,22500,Stamp Duty Land Tax,2000,official-calculation,1400,market-estimate,340,market-estimate,355,market-estimate,700,market-estimate,800,market-estimate,40,1100,true,320,true,0,false,506,10,30061,"Taxes use official jurisdiction-specific rules verified on 19 July 2026. Legal, survey, mortgage, moving and setup figures are adjustable planning estimates. Northern Ireland registration is an adjustable allowance, not an HM Land Registry charge."
2026,2026.07.1,225000,Northern Ireland,Additional property / second home,average,10,22500,Stamp Duty Land Tax,13250,official-calculation,1400,market-estimate,340,market-estimate,355,market-estimate,700,market-estimate,800,market-estimate,40,1100,true,320,true,0,false,506,10,41311,"Taxes use official jurisdiction-specific rules verified on 19 July 2026. Legal, survey, mortgage, moving and setup figures are adjustable planning estimates. Northern Ireland registration is an adjustable allowance, not an HM Land Registry charge."
2026,2026.07.1,225000,Scotland,First-time buyer,average,10,22500,LBTT,1000,official-calculation,1400,market-estimate,240,market-estimate,530,official-charge,700,market-estimate,800,market-estimate,40,1100,true,300,true,0,false,458,10,29068,"Taxes use official jurisdiction-specific rules verified on 19 July 2026. Legal, survey, mortgage, moving and setup figures are adjustable planning estimates. Registration treatment depends on the application; confirm the final charge with your solicitor."
2026,2026.07.1,225000,Scotland,Home mover,average,10,22500,LBTT,1600,official-calculation,1400,market-estimate,240,market-estimate,530,official-charge,700,market-estimate,800,market-estimate,40,1100,true,300,true,0,false,458,10,29668,"Taxes use official jurisdiction-specific rules verified on 19 July 2026. Legal, survey, mortgage, moving and setup figures are adjustable planning estimates. Registration treatment depends on the application; confirm the final charge with your solicitor."
2026,2026.07.1,225000,Scotland,Additional property / second home,average,10,22500,LBTT,19600,official-calculation,1400,market-estimate,240,market-estimate,530,official-charge,700,market-estimate,800,market-estimate,40,1100,true,300,true,0,false,458,10,47668,"Taxes use official jurisdiction-specific rules verified on 19 July 2026. Legal, survey, mortgage, moving and setup figures are adjustable planning estimates. Registration treatment depends on the application; confirm the final charge with your solicitor."
2026,2026.07.1,225000,Wales,First-time buyer,average,10,22500,LTT,0,official-calculation,1400,market-estimate,330,market-estimate,150,official-charge,700,market-estimate,800,market-estimate,40,1100,true,320,true,0,false,469,10,27809,"Taxes use official jurisdiction-specific rules verified on 19 July 2026. Legal, survey, mortgage, moving and setup figures are adjustable planning estimates. Registration treatment depends on the application; confirm the final charge with your solicitor."
2026,2026.07.1,225000,Wales,Home mover,average,10,22500,LTT,0,official-calculation,1400,market-estimate,330,market-estimate,150,official-charge,700,market-estimate,800,market-estimate,40,1100,true,320,true,0,false,469,10,27809,"Taxes use official jurisdiction-specific rules verified on 19 July 2026. Legal, survey, mortgage, moving and setup figures are adjustable planning estimates. Registration treatment depends on the application; confirm the final charge with your solicitor."
2026,2026.07.1,225000,Wales,Additional property / second home,average,10,22500,LTT,12825,official-calculation,1400,market-estimate,330,market-estimate,150,official-charge,700,market-estimate,800,market-estimate,40,1100,true,320,true,0,false,469,10,40634,"Taxes use official jurisdiction-specific rules verified on 19 July 2026. Legal, survey, mortgage, moving and setup figures are adjustable planning estimates. Registration treatment depends on the application; confirm the final charge with your solicitor."
2026,2026.07.1,250000,England,First-time buyer,average,10,25000,Stamp Duty Land Tax,0,official-calculation,1400,market-estimate,340,market-estimate,150,official-charge,700,market-estimate,800,market-estimate,40,1100,true,320,true,0,false,470,10,30320,"Taxes use official jurisdiction-specific rules verified on 19 July 2026. Legal, survey, mortgage, moving and setup figures are adjustable planning estimates. Registration treatment depends on the application; confirm the final charge with your solicitor."
2026,2026.07.1,250000,England,Home mover,average,10,25000,Stamp Duty Land Tax,2500,official-calculation,1400,market-estimate,340,market-estimate,150,official-charge,700,market-estimate,800,market-estimate,40,1100,true,320,true,0,false,470,10,32820,"Taxes use official jurisdiction-specific rules verified on 19 July 2026. Legal, survey, mortgage, moving and setup figures are adjustable planning estimates. Registration treatment depends on the application; confirm the final charge with your solicitor."
2026,2026.07.1,250000,England,Additional property / second home,average,10,25000,Stamp Duty Land Tax,15000,official-calculation,1400,market-estimate,340,market-estimate,150,official-charge,700,market-estimate,800,market-estimate,40,1100,true,320,true,0,false,470,10,45320,"Taxes use official jurisdiction-specific rules verified on 19 July 2026. Legal, survey, mortgage, moving and setup figures are adjustable planning estimates. Registration treatment depends on the application; confirm the final charge with your solicitor."
2026,2026.07.1,250000,Northern Ireland,First-time buyer,average,10,25000,Stamp Duty Land Tax,0,official-calculation,1400,market-estimate,340,market-estimate,355,market-estimate,700,market-estimate,800,market-estimate,40,1100,true,320,true,0,false,506,10,30561,"Taxes use official jurisdiction-specific rules verified on 19 July 2026. Legal, survey, mortgage, moving and setup figures are adjustable planning estimates. Northern Ireland registration is an adjustable allowance, not an HM Land Registry charge."
2026,2026.07.1,250000,Northern Ireland,Home mover,average,10,25000,Stamp Duty Land Tax,2500,official-calculation,1400,market-estimate,340,market-estimate,355,market-estimate,700,market-estimate,800,market-estimate,40,1100,true,320,true,0,false,506,10,33061,"Taxes use official jurisdiction-specific rules verified on 19 July 2026. Legal, survey, mortgage, moving and setup figures are adjustable planning estimates. Northern Ireland registration is an adjustable allowance, not an HM Land Registry charge."
2026,2026.07.1,250000,Northern Ireland,Additional property / second home,average,10,25000,Stamp Duty Land Tax,15000,official-calculation,1400,market-estimate,340,market-estimate,355,market-estimate,700,market-estimate,800,market-estimate,40,1100,true,320,true,0,false,506,10,45561,"Taxes use official jurisdiction-specific rules verified on 19 July 2026. Legal, survey, mortgage, moving and setup figures are adjustable planning estimates. Northern Ireland registration is an adjustable allowance, not an HM Land Registry charge."
2026,2026.07.1,250000,Scotland,First-time buyer,average,10,25000,LBTT,1500,official-calculation,1400,market-estimate,240,market-estimate,530,official-charge,700,market-estimate,800,market-estimate,40,1100,true,300,true,0,false,458,10,32068,"Taxes use official jurisdiction-specific rules verified on 19 July 2026. Legal, survey, mortgage, moving and setup figures are adjustable planning estimates. Registration treatment depends on the application; confirm the final charge with your solicitor."
2026,2026.07.1,250000,Scotland,Home mover,average,10,25000,LBTT,2100,official-calculation,1400,market-estimate,240,market-estimate,530,official-charge,700,market-estimate,800,market-estimate,40,1100,true,300,true,0,false,458,10,32668,"Taxes use official jurisdiction-specific rules verified on 19 July 2026. Legal, survey, mortgage, moving and setup figures are adjustable planning estimates. Registration treatment depends on the application; confirm the final charge with your solicitor."
2026,2026.07.1,250000,Scotland,Additional property / second home,average,10,25000,LBTT,22100,official-calculation,1400,market-estimate,240,market-estimate,530,official-charge,700,market-estimate,800,market-estimate,40,1100,true,300,true,0,false,458,10,52668,"Taxes use official jurisdiction-specific rules verified on 19 July 2026. Legal, survey, mortgage, moving and setup figures are adjustable planning estimates. Registration treatment depends on the application; confirm the final charge with your solicitor."
2026,2026.07.1,250000,Wales,First-time buyer,average,10,25000,LTT,1500,official-calculation,1400,market-estimate,330,market-estimate,150,official-charge,700,market-estimate,800,market-estimate,40,1100,true,320,true,0,false,469,10,31809,"Taxes use official jurisdiction-specific rules verified on 19 July 2026. Legal, survey, mortgage, moving and setup figures are adjustable planning estimates. Registration treatment depends on the application; confirm the final charge with your solicitor."
2026,2026.07.1,250000,Wales,Home mover,average,10,25000,LTT,1500,official-calculation,1400,market-estimate,330,market-estimate,150,official-charge,700,market-estimate,800,market-estimate,40,1100,true,320,true,0,false,469,10,31809,"Taxes use official jurisdiction-specific rules verified on 19 July 2026. Legal, survey, mortgage, moving and setup figures are adjustable planning estimates. Registration treatment depends on the application; confirm the final charge with your solicitor."
2026,2026.07.1,250000,Wales,Additional property / second home,average,10,25000,LTT,14950,official-calculation,1400,market-estimate,330,market-estimate,150,official-charge,700,market-estimate,800,market-estimate,40,1100,true,320,true,0,false,469,10,45259,"Taxes use official jurisdiction-specific rules verified on 19 July 2026. Legal, survey, mortgage, moving and setup figures are adjustable planning estimates. Registration treatment depends on the application; confirm the final charge with your solicitor."
2026,2026.07.1,275000,England,First-time buyer,average,10,27500,Stamp Duty Land Tax,0,official-calculation,1400,market-estimate,340,market-estimate,150,official-charge,700,market-estimate,800,market-estimate,40,1100,true,320,true,0,false,470,10,32820,"Taxes use official jurisdiction-specific rules verified on 19 July 2026. Legal, survey, mortgage, moving and setup figures are adjustable planning estimates. Registration treatment depends on the application; confirm the final charge with your solicitor."
2026,2026.07.1,275000,England,Home mover,average,10,27500,Stamp Duty Land Tax,3750,official-calculation,1400,market-estimate,340,market-estimate,150,official-charge,700,market-estimate,800,market-estimate,40,1100,true,320,true,0,false,470,10,36570,"Taxes use official jurisdiction-specific rules verified on 19 July 2026. Legal, survey, mortgage, moving and setup figures are adjustable planning estimates. Registration treatment depends on the application; confirm the final charge with your solicitor."
2026,2026.07.1,275000,England,Additional property / second home,average,10,27500,Stamp Duty Land Tax,17500,official-calculation,1400,market-estimate,340,market-estimate,150,official-charge,700,market-estimate,800,market-estimate,40,1100,true,320,true,0,false,470,10,50320,"Taxes use official jurisdiction-specific rules verified on 19 July 2026. Legal, survey, mortgage, moving and setup figures are adjustable planning estimates. Registration treatment depends on the application; confirm the final charge with your solicitor."
2026,2026.07.1,275000,Northern Ireland,First-time buyer,average,10,27500,Stamp Duty Land Tax,0,official-calculation,1400,market-estimate,340,market-estimate,445,market-estimate,700,market-estimate,800,market-estimate,40,1100,true,320,true,0,false,515,10,33160,"Taxes use official jurisdiction-specific rules verified on 19 July 2026. Legal, survey, mortgage, moving and setup figures are adjustable planning estimates. Northern Ireland registration is an adjustable allowance, not an HM Land Registry charge."
2026,2026.07.1,275000,Northern Ireland,Home mover,average,10,27500,Stamp Duty Land Tax,3750,official-calculation,1400,market-estimate,340,market-estimate,445,market-estimate,700,market-estimate,800,market-estimate,40,1100,true,320,true,0,false,515,10,36910,"Taxes use official jurisdiction-specific rules verified on 19 July 2026. Legal, survey, mortgage, moving and setup figures are adjustable planning estimates. Northern Ireland registration is an adjustable allowance, not an HM Land Registry charge."
2026,2026.07.1,275000,Northern Ireland,Additional property / second home,average,10,27500,Stamp Duty Land Tax,17500,official-calculation,1400,market-estimate,340,market-estimate,445,market-estimate,700,market-estimate,800,market-estimate,40,1100,true,320,true,0,false,515,10,50660,"Taxes use official jurisdiction-specific rules verified on 19 July 2026. Legal, survey, mortgage, moving and setup figures are adjustable planning estimates. Northern Ireland registration is an adjustable allowance, not an HM Land Registry charge."
2026,2026.07.1,275000,Scotland,First-time buyer,average,10,27500,LBTT,2750,official-calculation,1400,market-estimate,240,market-estimate,530,official-charge,700,market-estimate,800,market-estimate,40,1100,true,300,true,0,false,458,10,35818,"Taxes use official jurisdiction-specific rules verified on 19 July 2026. Legal, survey, mortgage, moving and setup figures are adjustable planning estimates. Registration treatment depends on the application; confirm the final charge with your solicitor."
2026,2026.07.1,275000,Scotland,Home mover,average,10,27500,LBTT,3350,official-calculation,1400,market-estimate,240,market-estimate,530,official-charge,700,market-estimate,800,market-estimate,40,1100,true,300,true,0,false,458,10,36418,"Taxes use official jurisdiction-specific rules verified on 19 July 2026. Legal, survey, mortgage, moving and setup figures are adjustable planning estimates. Registration treatment depends on the application; confirm the final charge with your solicitor."
2026,2026.07.1,275000,Scotland,Additional property / second home,average,10,27500,LBTT,25350,official-calculation,1400,market-estimate,240,market-estimate,530,official-charge,700,market-estimate,800,market-estimate,40,1100,true,300,true,0,false,458,10,58418,"Taxes use official jurisdiction-specific rules verified on 19 July 2026. Legal, survey, mortgage, moving and setup figures are adjustable planning estimates. Registration treatment depends on the application; confirm the final charge with your solicitor."
2026,2026.07.1,275000,Wales,First-time buyer,average,10,27500,LTT,3000,official-calculation,1400,market-estimate,330,market-estimate,150,official-charge,700,market-estimate,800,market-estimate,40,1100,true,320,true,0,false,469,10,35809,"Taxes use official jurisdiction-specific rules verified on 19 July 2026. Legal, survey, mortgage, moving and setup figures are adjustable planning estimates. Registration treatment depends on the application; confirm the final charge with your solicitor."
2026,2026.07.1,275000,Wales,Home mover,average,10,27500,LTT,3000,official-calculation,1400,market-estimate,330,market-estimate,150,official-charge,700,market-estimate,800,market-estimate,40,1100,true,320,true,0,false,469,10,35809,"Taxes use official jurisdiction-specific rules verified on 19 July 2026. Legal, survey, mortgage, moving and setup figures are adjustable planning estimates. Registration treatment depends on the application; confirm the final charge with your solicitor."
2026,2026.07.1,275000,Wales,Additional property / second home,average,10,27500,LTT,17450,official-calculation,1400,market-estimate,330,market-estimate,150,official-charge,700,market-estimate,800,market-estimate,40,1100,true,320,true,0,false,469,10,50259,"Taxes use official jurisdiction-specific rules verified on 19 July 2026. Legal, survey, mortgage, moving and setup figures are adjustable planning estimates. Registration treatment depends on the application; confirm the final charge with your solicitor."
2026,2026.07.1,300000,England,First-time buyer,average,10,30000,Stamp Duty Land Tax,0,official-calculation,1400,market-estimate,340,market-estimate,150,official-charge,700,market-estimate,800,market-estimate,40,1100,true,320,true,0,false,470,10,35320,"Taxes use official jurisdiction-specific rules verified on 19 July 2026. Legal, survey, mortgage, moving and setup figures are adjustable planning estimates. Registration treatment depends on the application; confirm the final charge with your solicitor."
2026,2026.07.1,300000,England,Home mover,average,10,30000,Stamp Duty Land Tax,5000,official-calculation,1400,market-estimate,340,market-estimate,150,official-charge,700,market-estimate,800,market-estimate,40,1100,true,320,true,0,false,470,10,40320,"Taxes use official jurisdiction-specific rules verified on 19 July 2026. Legal, survey, mortgage, moving and setup figures are adjustable planning estimates. Registration treatment depends on the application; confirm the final charge with your solicitor."
2026,2026.07.1,300000,England,Additional property / second home,average,10,30000,Stamp Duty Land Tax,20000,official-calculation,1400,market-estimate,340,market-estimate,150,official-charge,700,market-estimate,800,market-estimate,40,1100,true,320,true,0,false,470,10,55320,"Taxes use official jurisdiction-specific rules verified on 19 July 2026. Legal, survey, mortgage, moving and setup figures are adjustable planning estimates. Registration treatment depends on the application; confirm the final charge with your solicitor."
2026,2026.07.1,300000,Northern Ireland,First-time buyer,average,10,30000,Stamp Duty Land Tax,0,official-calculation,1400,market-estimate,340,market-estimate,445,market-estimate,700,market-estimate,800,market-estimate,40,1100,true,320,true,0,false,515,10,35660,"Taxes use official jurisdiction-specific rules verified on 19 July 2026. Legal, survey, mortgage, moving and setup figures are adjustable planning estimates. Northern Ireland registration is an adjustable allowance, not an HM Land Registry charge."
2026,2026.07.1,300000,Northern Ireland,Home mover,average,10,30000,Stamp Duty Land Tax,5000,official-calculation,1400,market-estimate,340,market-estimate,445,market-estimate,700,market-estimate,800,market-estimate,40,1100,true,320,true,0,false,515,10,40660,"Taxes use official jurisdiction-specific rules verified on 19 July 2026. Legal, survey, mortgage, moving and setup figures are adjustable planning estimates. Northern Ireland registration is an adjustable allowance, not an HM Land Registry charge."
2026,2026.07.1,300000,Northern Ireland,Additional property / second home,average,10,30000,Stamp Duty Land Tax,20000,official-calculation,1400,market-estimate,340,market-estimate,445,market-estimate,700,market-estimate,800,market-estimate,40,1100,true,320,true,0,false,515,10,55660,"Taxes use official jurisdiction-specific rules verified on 19 July 2026. Legal, survey, mortgage, moving and setup figures are adjustable planning estimates. Northern Ireland registration is an adjustable allowance, not an HM Land Registry charge."
2026,2026.07.1,300000,Scotland,First-time buyer,average,10,30000,LBTT,4000,official-calculation,1400,market-estimate,240,market-estimate,530,official-charge,700,market-estimate,800,market-estimate,40,1100,true,300,true,0,false,458,10,39568,"Taxes use official jurisdiction-specific rules verified on 19 July 2026. Legal, survey, mortgage, moving and setup figures are adjustable planning estimates. Registration treatment depends on the application; confirm the final charge with your solicitor."
